person_id,name,gender,birth_year,death_year,biography,generation,genealogy_id,birth_family_id
93,李巧,F,1620,,投笔从戎，保家卫国，战功赫赫。,5,1,25
94,李英,M,1612,1664,一生勤劳朴实，耕读传家。,5,1,25
95,李艳,M,1605,1670,学识渊博，教书育人，桃李满天下。,5,1,25
96,李霞,F,1611,1677,历经风雨，坚韧不拔，白手起家。,5,1,25
97,李萍,F,1579,1636,学识渊博，教书育人，桃李满天下。,4,1,
98,李平,M,1607,1669,为人正直，乐于助人，在乡里享有崇高威望。,5,1,26
99,李桂,M,1598,1667,潜心学问，著述丰富，为后世留下宝贵文化遗产。,4,1,
100,李艳,F,1626,1680,投笔从戎，保家卫国，战功赫赫。,5,1,27
101,李琳,F,1584,1665,为人正直，乐于助人，在乡里享有崇高威望。,4,1,
102,李燕,F,1622,1705,性情温和，与邻为善，家庭和睦。,5,1,28
103,李妹,F,1622,1689,历经风雨，坚韧不拔，白手起家。,5,1,28
104,李静,M,1617,1682,经商有道，诚信经营，富甲一方。,5,1,28
105,李玲,M,1600,1671,一生勤劳朴实，耕读传家。,4,1,
106,李文,M,1622,1688,历经风雨，坚韧不拔，白手起家。,5,1,29
107,李嘉,F,1624,1707,精于农事，善于经营，家道日益兴旺。,5,1,29
108,李明,M,1629,1694,经商有道，诚信经营，富甲一方。,5,1,29
109,李月,F,1584,1639,性情温和，与邻为善，家庭和睦。,4,1,
110,李平,M,1613,1696,历经风雨，坚韧不拔，白手起家。,5,1,30
111,李瑞,F,1612,1691,性情温和，与邻为善，家庭和睦。,5,1,30
112,李莉,F,1609,,精于农事，善于经营，家道日益兴旺。,5,1,30
113,李霞,F,1607,1687,性情温和，与邻为善，家庭和睦。,5,1,30
114,李佳,F,1588,1644,精于农事，善于经营，家道日益兴旺。,4,1,
115,李红,F,1614,,投笔从戎，保家卫国，战功赫赫。,5,1,31
116,李秀,M,1606,1691,性情温和，与邻为善，家庭和睦。,5,1,31
117,李磊,M,1584,1665,为人正直，乐于助人，在乡里享有崇高威望。,4,1,
118,李霞,F,1613,1666,性情温和，与邻为善，家庭和睦。,5,1,32
119,李霞,F,1601,1655,潜心学问，著述丰富，为后世留下宝贵文化遗产。,5,1,32
120,李军,M,1603,1672,为人正直，乐于助人，在乡里享有崇高威望。,5,1,32
121,李明,M,1573,1649,潜心学问，著述丰富，为后世留下宝贵文化遗产。,4,1,
122,李荣,F,1611,1688,性情温和，与邻为善，家庭和睦。,5,1,33
123,李旭,M,1600,1663,精于农事，善于经营，家道日益兴旺。,5,1,33
124,李超,M,1578,1643,学识渊博，教书育人，桃李满天下。,4,1,
125,李伟,M,1606,1686,性情温和，与邻为善，家庭和睦。,5,1,34
126,李英,F,1579,1647,经商有道，诚信经营，富甲一方。,4,1,
127,李佳,F,1607,1691,精于农事，善于经营，家道日益兴旺。,5,1,35
128,李秀,M,1605,,学识渊博，教书育人，桃李满天下。,5,1,35
129,李洁,F,1606,1674,经商有道，诚信经营，富甲一方。,5,1,
130,李真,F,1630,1711,经商有道，诚信经营，富甲一方。,6,1,36
131,李燕,M,1623,1693,潜心学问，著述丰富，为后世留下宝贵文化遗产。,6,1,36
132,李娟,F,1624,1675,性情温和，与邻为善，家庭和睦。,6,1,36
133,李勇,M,1637,1715,性情温和，与邻为善，家庭和睦。,6,1,36
134,李勇,M,1600,1681,为人正直，乐于助人，在乡里享有崇高威望。,5,1,
135,李琳,F,1626,1686,历经风雨，坚韧不拔，白手起家。,6,1,37
136,李月,F,1625,1700,投笔从戎，保家卫国，战功赫赫。,6,1,37
137,李兰,M,1618,1688,为人正直，乐于助人，在乡里享有崇高威望。,6,1,37
138,李云,M,1602,1652,投笔从戎，保家卫国，战功赫赫。,5,1,
139,李艳,M,1630,1711,经商有道，诚信经营，富甲一方。,6,1,38
140,李杰,M,1627,1695,经商有道，诚信经营，富甲一方。,6,1,38
141,李霞,F,1619,1684,学识渊博，教书育人，桃李满天下。,6,1,38
142,李瑞,F,1619,1674,精于农事，善于经营，家道日益兴旺。,6,1,38
143,李强,M,1603,1662,经商有道，诚信经营，富甲一方。,5,1,
144,李霞,F,1636,1721,学识渊博，教书育人，桃李满天下。,6,1,39
145,李兰,F,1625,1692,精通医术，悬壶济世，救人无数。,6,1,39
146,李莺,F,1629,1697,性情温和，与邻为善，家庭和睦。,6,1,39
147,李佳,F,1618,1699,学识渊博，教书育人，桃李满天下。,5,1,
148,李琳,F,1646,1716,精于农事，善于经营，家道日益兴旺。,6,1,40
149,李玲,M,1646,1722,一生勤劳朴实，耕读传家。,6,1,40
150,李霞,F,1646,1705,经商有道，诚信经营，富甲一方。,6,1,40
151,李磊,M,1644,1722,为人正直，乐于助人，在乡里享有崇高威望。,6,1,40
152,李媛,F,1604,,学识渊博，教书育人，桃李满天下。,5,1,
153,李志,M,1630,1705,为人正直，乐于助人，在乡里享有崇高威望。,6,1,41
154,李艳,F,1634,1715,投笔从戎，保家卫国，战功赫赫。,6,1,41
155,李娜,M,1606,1674,精于农事，善于经营，家道日益兴旺。,5,1,
156,李丽,M,1636,1705,一生勤劳朴实，耕读传家。,6,1,42
157,李刚,M,1623,1696,精通医术，悬壶济世，救人无数。,6,1,42
158,李明,M,1635,1696,学识渊博，教书育人，桃李满天下。,6,1,42
159,李静,M,1634,1699,经商有道，诚信经营，富甲一方。,6,1,42
160,李佳,F,1607,1673,经商有道，诚信经营，富甲一方。,5,1,
161,李凤,F,1635,,历经风雨，坚韧不拔，白手起家。,6,1,43
162,李佳,F,1614,1691,性情温和，与邻为善，家庭和睦。,5,1,
163,李建,M,1650,,精通医术，悬壶济世，救人无数。,6,1,44
164,李凡,F,1644,1712,一生勤劳朴实，耕读传家。,6,1,44
165,李兰,F,1635,1688,潜心学问，著述丰富，为后世留下宝贵文化遗产。,6,1,44
166,李文,M,1607,1671,潜心学问，著述丰富，为后世留下宝贵文化遗产。,5,1,
167,李旭,M,1636,1694,为人正直，乐于助人，在乡里享有崇高威望。,6,1,45
168,李平,M,1642,,历经风雨，坚韧不拔，白手起家。,6,1,45
169,李玲,F,1615,1685,精通医术，悬壶济世，救人无数。,5,1,
170,李珍,M,1650,1717,学识渊博，教书育人，桃李满天下。,6,1,46
171,李霞,F,1648,1719,为人正直，乐于助人，在乡里享有崇高威望。,6,1,46
172,李兰,M,1613,1677,精通医术，悬壶济世，救人无数。,5,1,
173,李云,M,1637,1694,经商有道，诚信经营，富甲一方。,6,1,47
174,李莉,F,1649,1722,为人正直，乐于助人，在乡里享有崇高威望。,6,1,47
175,李志,M,1637,1722,历经风雨，坚韧不拔，白手起家。,6,1,47
176,李琼,F,1611,1690,性情温和，与邻为善，家庭和睦。,5,1,
177,李磊,M,1634,1703,经商有道，诚信经营，富甲一方。,6,1,48
178,李丽,M,1640,1698,精通医术，悬壶济世，救人无数。,6,1,48
179,李云,F,1646,1705,精通医术，悬壶济世，救人无数。,6,1,48
180,李文,M,1646,1713,一生勤劳朴实，耕读传家。,6,1,48
181,李云,F,1616,1681,历经风雨，坚韧不拔，白手起家。,5,1,
182,李华,F,1650,1707,经商有道，诚信经营，富甲一方。,6,1,49
183,李杰,M,1638,,历经风雨，坚韧不拔，白手起家。,6,1,49
184,李磊,M,1644,,投笔从戎，保家卫国，战功赫赫。,6,1,49
185,李玉,F,1626,1690,历经风雨，坚韧不拔，白手起家。,5,1,
186,李燕,F,1646,1707,为人正直，乐于助人，在乡里享有崇高威望。,6,1,50
187,李芳,M,1622,,精于农事，善于经营，家道日益兴旺。,5,1,
188,李勇,M,1653,,精通医术，悬壶济世，救人无数。,6,1,51
189,李敏,M,1660,1733,投笔从戎，保家卫国，战功赫赫。,6,1,51
190,李梅,M,1652,1704,投笔从戎，保家卫国，战功赫赫。,6,1,51
191,李平,M,1622,1673,一生勤劳朴实，耕读传家。,5,1,
192,李美,F,1655,1733,为人正直，乐于助人，在乡里享有崇高威望。,6,1,52
193,李刚,M,1644,,性情温和，与邻为善，家庭和睦。,6,1,52
194,李莲,F,1649,1726,为人正直，乐于助人，在乡里享有崇高威望。,6,1,52
195,李婷,M,1646,1710,精通医术，悬壶济世，救人无数。,6,1,52
196,李桂,M,1618,1674,历经风雨，坚韧不拔，白手起家。,5,1,
197,李云,F,1640,1720,为人正直，乐于助人，在乡里享有崇高威望。,6,1,53
198,李静,M,1638,1711,学识渊博，教书育人，桃李满天下。,6,1,53
199,李桂,M,1646,1722,历经风雨，坚韧不拔，白手起家。,6,1,53
200,李雪,M,1601,1670,历经风雨，坚韧不拔，白手起家。,5,1,
201,李志,M,1633,1705,投笔从戎，保家卫国，战功赫赫。,6,1,54
202,李霞,F,1634,1711,投笔从戎，保家卫国，战功赫赫。,6,1,54
203,李琼,F,1615,1700,一生勤劳朴实，耕读传家。,5,1,
204,李勇,M,1639,1708,历经风雨，坚韧不拔，白手起家。,6,1,55
205,李芳,F,1636,1711,为人正直，乐于助人，在乡里享有崇高威望。,6,1,55
206,李芳,M,1633,1696,精通医术，悬壶济世，救人无数。,6,1,55
207,李海,M,1618,1691,性情温和，与邻为善，家庭和睦。,5,1,
208,李军,M,1641,1694,为人正直，乐于助人，在乡里享有崇高威望。,6,1,56
209,李秀,M,1611,1692,潜心学问，著述丰富，为后世留下宝贵文化遗产。,5,1,
210,李玉,F,1632,1689,性情温和，与邻为善，家庭和睦。,6,1,57
211,李媛,F,1638,,精通医术，悬壶济世，救人无数。,6,1,57
212,李伟,M,1635,1698,学识渊博，教书育人，桃李满天下。,6,1,57
213,李凤,F,1639,,经商有道，诚信经营，富甲一方。,6,1,57
214,李雪,M,1609,1693,精于农事，善于经营，家道日益兴旺。,5,1,
215,李云,M,1633,1712,为人正直，乐于助人，在乡里享有崇高威望。,6,1,58
216,李凡,F,1645,1721,性情温和，与邻为善，家庭和睦。,6,1,58
217,李云,M,1632,1692,潜心学问，著述丰富，为后世留下宝贵文化遗产。,6,1,58
218,李妹,F,1613,1669,精于农事，善于经营，家道日益兴旺。,5,1,
219,李云,M,1642,1706,历经风雨，坚韧不拔，白手起家。,6,1,59
220,李敏,M,1636,1698,历经风雨，坚韧不拔，白手起家。,6,1,59
221,李燕,F,1640,,性情温和，与邻为善，家庭和睦。,6,1,59
222,李勇,M,1637,1691,学识渊博，教书育人，桃李满天下。,6,1,59
223,李文,M,1609,1687,潜心学问，著述丰富，为后世留下宝贵文化遗产。,5,1,
224,李燕,F,1641,,经商有道，诚信经营，富甲一方。,6,1,60
225,李兰,F,1628,1682,性情温和，与邻为善，家庭和睦。,6,1,60
226,李荣,F,1628,,性情温和，与邻为善，家庭和睦。,6,1,60
227,李敏,M,1614,1669,潜心学问，著述丰富，为后世留下宝贵文化遗产。,5,1,
228,李佳,F,1630,1692,历经风雨，坚韧不拔，白手起家。,6,1,61
229,李莺,F,1633,1711,为人正直，乐于助人，在乡里享有崇高威望。,6,1,61
230,李巧,F,1634,,经商有道，诚信经营，富甲一方。,6,1,61
231,李媛,F,1634,1702,精通医术，悬壶济世，救人无数。,6,1,61
232,李海,M,1615,1668,历经风雨，坚韧不拔，白手起家。,5,1,
233,李婷,M,1647,1706,历经风雨，坚韧不拔，白手起家。,6,1,62
234,李桂,M,1639,1708,精通医术，悬壶济世，救人无数。,6,1,62
235,李燕,M,1637,1711,历经风雨，坚韧不拔，白手起家。,6,1,62
236,李磊,M,1606,1689,为人正直，乐于助人，在乡里享有崇高威望。,5,1,
237,李娟,F,1632,1695,历经风雨，坚韧不拔，白手起家。,6,1,63
238,李兰,F,1628,1687,为人正直，乐于助人，在乡里享有崇高威望。,6,1,63
239,李美,F,1622,1680,潜心学问，著述丰富，为后世留下宝贵文化遗产。,6,1,63
240,李燕,F,1626,1686,经商有道，诚信经营，富甲一方。,6,1,63
241,李英,F,1611,1676,经商有道，诚信经营，富甲一方。,5,1,
242,李珍,F,1637,1717,精于农事，善于经营，家道日益兴旺。,6,1,64
243,李凡,F,1644,1712,精通医术，悬壶济世，救人无数。,6,1,64
244,李萍,F,1636,1694,性情温和，与邻为善，家庭和睦。,6,1,64
245,李华,F,1613,1686,投笔从戎，保家卫国，战功赫赫。,5,1,
246,李巧,F,1633,1715,学识渊博，教书育人，桃李满天下。,6,1,65
247,李雪,F,1604,1668,经商有道，诚信经营，富甲一方。,5,1,
248,李华,F,1640,1705,精通医术，悬壶济世，救人无数。,6,1,66
249,李巧,F,1613,1683,为人正直，乐于助人，在乡里享有崇高威望。,5,1,
250,李磊,M,1634,1714,学识渊博，教书育人，桃李满天下。,6,1,67
251,李荣,F,1633,1684,性情温和，与邻为善，家庭和睦。,6,1,67
252,李军,M,1646,,性情温和，与邻为善，家庭和睦。,6,1,67
253,李明,M,1619,1684,精通医术，悬壶济世，救人无数。,5,1,
254,李强,M,1655,1706,投笔从戎，保家卫国，战功赫赫。,6,1,68
255,李军,M,1649,1721,精于农事，善于经营，家道日益兴旺。,6,1,68
256,李红,F,1642,1715,为人正直，乐于助人，在乡里享有崇高威望。,6,1,68
257,李建,M,1655,,精通医术，悬壶济世，救人无数。,6,1,68
258,李云,F,1611,1683,为人正直，乐于助人，在乡里享有崇高威望。,5,1,
259,李桂,M,1642,,历经风雨，坚韧不拔，白手起家。,6,1,69
260,李红,F,1646,1726,学识渊博，教书育人，桃李满天下。,6,1,69
261,李玲,F,1601,1680,一生勤劳朴实，耕读传家。,5,1,
262,李艳,M,1626,1695,投笔从戎，保家卫国，战功赫赫。,6,1,70
263,李艳,F,1640,1702,性情温和，与邻为善，家庭和睦。,6,1,70
264,李英,M,1606,1677,性情温和，与邻为善，家庭和睦。,5,1,
265,李真,F,1645,1719,历经风雨，坚韧不拔，白手起家。,6,1,71
266,李文,M,1646,1729,性情温和，与邻为善，家庭和睦。,6,1,71
267,李雪,M,1633,1694,投笔从戎，保家卫国，战功赫赫。,6,1,71
268,李凤,F,1607,1677,性情温和，与邻为善，家庭和睦。,5,1,
269,李萍,F,1641,1693,历经风雨，坚韧不拔，白手起家。,6,1,72
270,李兰,F,1628,,精通医术，悬壶济世，救人无数。,6,1,72
271,李莺,F,1632,1691,潜心学问，著述丰富，为后世留下宝贵文化遗产。,6,1,72
272,李英,F,1631,,历经风雨，坚韧不拔，白手起家。,6,1,72
273,李华,M,1627,1679,潜心学问，著述丰富，为后世留下宝贵文化遗产。,5,1,
274,李云,F,1660,1718,投笔从戎，保家卫国，战功赫赫。,6,1,73
275,李真,F,1656,1721,为人正直，乐于助人，在乡里享有崇高威望。,6,1,73
276,李勇,M,1661,1746,为人正直，乐于助人，在乡里享有崇高威望。,6,1,73
277,李莉,F,1660,1728,经商有道，诚信经营，富甲一方。,6,1,73
278,李艳,M,1618,1672,经商有道，诚信经营，富甲一方。,5,1,
279,李刚,M,1653,1738,投笔从戎，保家卫国，战功赫赫。,6,1,74
280,李洁,F,1647,1708,历经风雨，坚韧不拔，白手起家。,6,1,74
281,李强,M,1648,1713,经商有道，诚信经营，富甲一方。,6,1,74
282,李华,M,1653,1738,学识渊博，教书育人，桃李满天下。,6,1,74
283,李旭,M,1618,1693,经商有道，诚信经营，富甲一方。,5,1,
284,李凡,F,1644,,历经风雨，坚韧不拔，白手起家。,6,1,75
285,李梅,M,1656,1728,学识渊博，教书育人，桃李满天下。,6,1,75
286,李磊,M,1655,1708,为人正直，乐于助人，在乡里享有崇高威望。,6,1,75
287,李平,M,1647,1711,历经风雨，坚韧不拔，白手起家。,6,1,75
288,李媛,F,1616,1682,精于农事，善于经营，家道日益兴旺。,5,1,
289,李平,M,1639,1699,潜心学问，著述丰富，为后世留下宝贵文化遗产。,6,1,76
290,李洋,M,1647,1699,一生勤劳朴实，耕读传家。,6,1,76
291,李娜,M,1645,1721,潜心学问，著述丰富，为后世留下宝贵文化遗产。,6,1,76
292,李娟,F,1624,1708,性情温和，与邻为善，家庭和睦。,5,1,
293,李贞,F,1654,1708,一生勤劳朴实，耕读传家。,6,1,77
294,李梅,M,1655,1718,历经风雨，坚韧不拔，白手起家。,6,1,77
295,李刚,M,1652,1724,精通医术，悬壶济世，救人无数。,6,1,77
296,李磊,M,1624,1680,历经风雨，坚韧不拔，白手起家。,5,1,
297,李秀,M,1658,1714,一生勤劳朴实，耕读传家。,6,1,78
298,李莲,F,1657,1717,历经风雨，坚韧不拔，白手起家。,6,1,78
299,李兰,F,1649,1731,经商有道，诚信经营，富甲一方。,6,1,78
300,李洁,F,1659,,精通医术，悬壶济世，救人无数。,6,1,78
301,李莺,F,1631,1694,潜心学问，著述丰富，为后世留下宝贵文化遗产。,5,1,
302,李霞,M,1664,1744,性情温和，与邻为善，家庭和睦。,6,1,79
303,李艳,F,1608,1685,学识渊博，教书育人，桃李满天下。,5,1,
304,李云,F,1634,1719,精于农事，善于经营，家道日益兴旺。,6,1,80
305,李瑞,F,1642,,投笔从戎，保家卫国，战功赫赫。,6,1,80
306,李瑞,F,1641,1698,学识渊博，教书育人，桃李满天下。,6,1,80
307,李丽,M,1613,1684,投笔从戎，保家卫国，战功赫赫。,5,1,
308,李燕,M,1644,1696,一生勤劳朴实，耕读传家。,6,1,81
309,李桂,M,1647,1706,潜心学问，著述丰富，为后世留下宝贵文化遗产。,6,1,81
310,李玉,M,1606,1676,学识渊博，教书育人，桃李满天下。,5,1,
311,李莺,F,1644,1713,经商有道，诚信经营，富甲一方。,6,1,82
312,李华,M,1639,1715,潜心学问，著述丰富，为后世留下宝贵文化遗产。,6,1,82
313,李娟,F,1644,1708,一生勤劳朴实，耕读传家。,6,1,82
314,李桂,M,1609,1683,学识渊博，教书育人，桃李满天下。,5,1,
315,李玲,M,1630,1708,历经风雨，坚韧不拔，白手起家。,6,1,83
316,李燕,F,1640,1716,投笔从戎，保家卫国，战功赫赫。,6,1,83
317,李旭,M,1616,1669,学识渊博，教书育人，桃李满天下。,5,1,
318,李霞,F,1646,1707,经商有道，诚信经营，富甲一方。,6,1,84
319,李艳,F,1645,1711,潜心学问，著述丰富，为后世留下宝贵文化遗产。,6,1,84
320,李霞,F,1604,1671,投笔从戎，保家卫国，战功赫赫。,5,1,
321,李凤,F,1632,1713,历经风雨，坚韧不拔，白手起家。,6,1,85
322,李素,F,1634,1718,精通医术，悬壶济世，救人无数。,6,1,85
323,李云,M,1613,1672,性情温和，与邻为善，家庭和睦。,5,1,
324,李英,M,1647,1727,精于农事，善于经营，家道日益兴旺。,6,1,86
325,李珍,M,1641,1708,学识渊博，教书育人，桃李满天下。,6,1,86
326,李旭,M,1640,1723,精于农事，善于经营，家道日益兴旺。,6,1,86
327,李涛,M,1596,1667,经商有道，诚信经营，富甲一方。,5,1,
328,李婷,M,1626,1706,经商有道，诚信经营，富甲一方。,6,1,87
329,李霞,M,1631,1684,为人正直，乐于助人，在乡里享有崇高威望。,6,1,87
330,李凡,F,1601,1653,学识渊博，教书育人，桃李满天下。,5,1,
331,李云,M,1638,1706,一生勤劳朴实，耕读传家。,6,1,88
332,李平,M,1626,1697,性情温和，与邻为善，家庭和睦。,6,1,88
333,李兰,M,1616,1697,学识渊博，教书育人，桃李满天下。,5,1,
334,李兰,F,1634,1713,性情温和，与邻为善，家庭和睦。,6,1,89
335,李伟,M,1641,1703,学识渊博，教书育人，桃李满天下。,6,1,89
336,李雪,F,1641,,为人正直，乐于助人，在乡里享有崇高威望。,6,1,89
337,李磊,M,1646,1711,一生勤劳朴实，耕读传家。,6,1,89
338,李莉,F,1601,1668,历经风雨，坚韧不拔，白手起家。,5,1,
339,李云,F,1627,,为人正直，乐于助人，在乡里享有崇高威望。,6,1,90
340,李妹,F,1605,1687,性情温和，与邻为善，家庭和睦。,5,1,
341,李琼,F,1633,1691,经商有道，诚信经营，富甲一方。,6,1,91
342,李兰,M,1637,1722,经商有道，诚信经营，富甲一方。,6,1,91
343,李明,M,1628,1711,历经风雨，坚韧不拔，白手起家。,6,1,91
344,李敏,M,1611,1696,投笔从戎，保家卫国，战功赫赫。,5,1,
345,李刚,M,1641,,精于农事，善于经营，家道日益兴旺。,6,1,92
346,李巧,F,1641,1720,学识渊博，教书育人，桃李满天下。,6,1,92
347,李莺,F,1606,1659,投笔从戎，保家卫国，战功赫赫。,5,1,
348,李云,M,1633,1696,潜心学问，著述丰富，为后世留下宝贵文化遗产。,6,1,93
349,李娜,M,1638,1692,投笔从戎，保家卫国，战功赫赫。,6,1,93
350,李敏,M,1640,,精通医术，悬壶济世，救人无数。,6,1,93
351,李勇,M,1627,1703,历经风雨，坚韧不拔，白手起家。,6,1,
